id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,geometry
Farmacia_11.101.564,Droga Raia,Droga Raia,Rua,Av. Washington Luís,Vila Congonhas,04626911,Farmacia,-23.779579,-45.358564,POINT (-45.358564 -23.779579)
Farmacia_11.101.573,Drogasil,Drogasil,Rua,Av. do Oratório,Jardim Guairaca,03221300,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.574,Pacheco,Engenheira Civil Jocastra Pacheco,Rua,,Parque Interlagos,,Farmacia,-22.058491,-46.9814,POINT (-46.9814 -22.058491)
Farmacia_11.101.585,Ultrafarma Popular,Ultrafarma Popular Estdo Alvarenga,Rua,Estr. do Alvarenga,Balneário São Francisco,04474340,Farmacia,-23.661074,-46.820136,POINT (-46.820136 -23.661074)
Farmacia_11.101.619,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. das Nações Unidas,Vila Almeida,04795921,Farmacia,-23.779579,-45.358564,POINT (-45.358564 -23.779579)
Farmacia_11.101.648,Drogasil,Drogasil,Rua,Av. Santa Marina,Vila Albertina,02732040,Farmacia,41.049183,15.022306,POINT (15.022306 41.049183)
Farmacia_11.101.650,Drogaria Sp,Drogaria Sao Paulo,Rua,R. Domingos de Morais,Santa Cruz,04036100,Farmacia,-22.941983,-46.552503,POINT (-46.552503 -22.941983)
Farmacia_11.101.675,Farma Conde,Farma Conde,Rua,Estr. do Embu-guaçu,Parque Universitario Espirita,04960010,Farmacia,-23.769255,-46.791046,POINT (-46.791046 -23.769255)
Farmacia_11.101.680,Drogaria Sp,Drogaria Sao Paulo,Rua,R. Descampado,Vila Vera,04296090,Farmacia,-23.779579,-45.358564,POINT (-45.358564 -23.779579)
Farmacia_11.101.688,Farmácias Pague Menos,Farmacia Pague Menos,Rua,R. Júlio de Castilhos,Belenzinho,04208001,Farmacia,-23.465079,-46.472595,POINT (-46.472595 -23.465079)
Farmacia_11.101.698,Drogasil,Drogasil,Rua,R. Maciel Monteiro,Vila Santa Teresa,03566000,Farmacia,-23.649784,-46.805503,POINT (-46.805503 -23.649784)
Farmacia_11.101.714,Ultrafarma Popular,Drogaria Ultrafarma Popular Jardim Rosana,Rua,Av. Carlos Lacerda,Jardim Rosana,05789001,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.718,Farmácias Pague Menos,Farmacia Pague Menos,Rua,Largo Nossa Sra. do Bom Parto,Vila Gomes Cardim,03309000,Farmacia,-23.673309,-45.438799,POINT (-45.438799 -23.673309)
Farmacia_11.101.720,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Morumbi,Jardim das Acacias,04703002,Farmacia,-20.940825,-48.459159,POINT (-48.459159 -20.940825)
Farmacia_11.101.722,Ultrafarma Popular,Ultrafarma Popular Freguesia,Rua,Av. Santa Marina,Vila Albertina,02732040,Farmacia,41.049183,15.022306,POINT (15.022306 41.049183)
Farmacia_11.101.745,Drogaria Sp,Drogaria Sao Paulo,Rua,R. Parapuã,Itaberaba,02831000,Farmacia,-23.679241,-46.627012,POINT (-46.627012 -23.679241)
Farmacia_11.101.758,Farmácias Pague Menos,Farmacia Pague Menos,Rua,Rua Alexandre Dumas,Jardim Hipico,04717003,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.759,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. dos Jequitibás,Jardim Oriental,04321090,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.781,Ultrafarma Popular,Ultrafarma Popular Unidade Campo Limpo,Rua,Estr. do Campo Limpo,Vila Pirajussara,05787000,Farmacia,-23.665478,-46.799895,POINT (-46.799895 -23.665478)
Farmacia_11.101.794,Ultrafarma Popular,Ultrafarma Popular Jardim Casa Grande,Rua,Av. Sen. Teotônio Vilela,Jardim Casa Grande,04858002,Farmacia,-23.699525,-46.596705,POINT (-46.596705 -23.699525)
Farmacia_11.101.798,Ultrafarma Popular,Ultrafarma,Rua,R. Boturoca,Vila Indiana,05586010,Farmacia,-22.175115,-51.251638,POINT (-51.251638 -22.175115)
Farmacia_11.101.806,Ultrafarma Popular,Ultrafarma Unidade Itaquera,Rua,Av. Campanella,Jardim Itapemirim,08220830,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.810,Drogasil,Drogasil,Rua,R. Barão de Itapetininga,Centro,01042000,Farmacia,-23.325651,-46.734267,POINT (-46.734267 -23.325651)
