id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,geometry
Escola Privada_1764682,Privada,Cr P Conv Isaura Ribeiro Martins,Rua,"Vicente Lazzari, 44",Jardim Princesa,2856000,Escola Privada,-23.4544058,-46.6953885,POINT (-46.6953885 -23.4544058)
Escola Privada_1764733,Privada,Cei Indir Gleba Sao Francisco,Rua,"Elsa Morante, 62",Jardim Sao Francisco,8390324,Escola Privada,-23.6327824,-46.4486918,POINT (-46.4486918 -23.6327824)
Escola Privada_1764745,Privada,Cr P Conv Chapeuzinho Amarelo,Rua,"Lincoln Junqueira, 35",Jardim Sao Pedro,8420660,Escola Privada,-23.5479285,-46.4318732,POINT (-46.4318732 -23.5479285)
Escola Privada_1764746,Privada,Cr P Conv Semeando O Bem IIi,Rua,"Cassununga, 8",Jardim Lourdes,8452500,Escola Privada,-23.5293498,-46.3959721,POINT (-46.3959721 -23.5293498)
Escola Privada_1764751,Privada,Cr P Conv Sao Jose Operario II,Rua,"Mariano Moro, 535",Vila Regina,8225060,Escola Privada,-23.5313235,-46.4572442,POINT (-46.4572442 -23.5313235)
Escola Privada_1764778,Privada,Cei Indir Nora Auler de Arruda Botelho,Rua,"Sao Joao Climaco, S/N",Sao Joao Climaco,4255010,Escola Privada,-23.6234535,-46.591034,POINT (-46.591034 -23.6234535)
Escola Privada_1764788,Privada,Pegasus Colegio,Rua,"Francisco Pedroso, 75",Moinho Velho,2960010,Escola Privada,-23.4979359,-46.6991224,POINT (-46.6991224 -23.4979359)
Escola Privada_1764898,Privada,Luz do Futuro Eeief Unidade II,Rua,"Rua Cambacica, 268",Vila Nova Curuca,8032340,Escola Privada,-23.516755,-46.4256653,POINT (-46.4256653 -23.516755)
Escola Privada_1765002,Privada,Ab Sabin Colegio,Rua,"Martin Luther King, 2280",Cidade Sao Francisco,5352020,Escola Privada,-23.5550337,-46.759562,POINT (-46.759562 -23.5550337)
Escola Privada_1765062,Privada,Harmonia Colegio,Rua,"Jequirica, 154",Parque Boa Esperanca,8341350,Escola Privada,-23.5976654,-46.4547338,POINT (-46.4547338 -23.5976654)
