longitude,latitude,pt_nome,pt_descric,pt_enderec
-46.68873069691062,-23.66852557489372,"AV. NSA. SRA. DO SABARÁ , 1570",R SANTO ALBERTO/ R MONSENHOR ALFREDO PEREIRA SAMPAIO,SANTO ALBERTO/ R MONSENHOR ALFREDO PEREIRA SAMPAIO
-46.68306133160326,-23.49776631509514,"AV. ANTÔNIO MUNHOZ BONILHA , 640",R SAO LEANDRO/ R ELIAS DA COSTA,SAO LEANDRO/ R ELIAS DA COSTA
-46.75297425264432,-23.64134988325968,"AV. LUCILO DE ALMEIDA , 273",R PADRE JUSTINO/ R ISAIAS TARANDACH,PADRE JUSTINO/ R ISAIAS TARANDACH
-46.68267843812139,-23.4675534483355,"R. PAJUÇARA , 161",R. PAULO GARCIA AQUILINE,PAULO GARCIA AQUILINE
-46.70405707817628,-23.52044127553915,"R. DOZE DE OUTUBRO , 347",R CLEMENTE ALVARES/ R ANTONIO RAPOSO,CLEMENTE ALVARES/ R ANTONIO RAPOSO
-46.6421488130565,-23.45712837697519,"R. RAUL BISPO DOS SANTOS , 0",R ACALANTO/ R ALVARO CARLOS LEAL,ACALANTO/ R ALVARO CARLOS LEAL
-46.48526167660587,-23.58952233100128,"R. DR. PAULO QUEIROZ , 1080",R   FRANCISCO DE MAGALHAES,FRANCISCO DE MAGALHAES
-46.64714026963323,-23.60353174084751,"R. LUÍS GOIS , 2021",R. LEANDRO DUPRE,LEANDRO DUPRE
-46.44402514293407,-23.55456136697634,"R. JARDIM TAMOIO , 53",R CARAMBOLA/ R SABBADO D ANGELO,CARAMBOLA/ R SABBADO D ANGELO
-46.55989131412643,-23.51231689206844,"AV. EDUCADOR PAULO FREIRE , 0",SABESP,SABESP
-46.4933247519076,-23.54773654068558,"R. SATURNINO DE SOUZA , 525",R EMB.  OSVALDO TAVARES,EMB.  OSVALDO TAVARES
-46.42253511614033,-23.6151980339952,"AV. BENTO GUELFI , 2748",ESTRADA DOS FIDELIS - OPOSTO,ESTRADA DOS FIDELIS - OPOSTO
-46.64005842819608,-23.57467284818311,"R. VERGUEIRO , 1485",R TUPINAMBAS/ R CORREIA DIAS,TUPINAMBAS/ R CORREIA DIAS
-46.67506975705599,-23.6842594653219,"R. JOSÉ FUGULIM , 46",R SAO CANUTO/ R OLGA MIL HOMENS COSTA,SAO CANUTO/ R OLGA MIL HOMENS COSTA
-46.7064762985705,-23.74060330895366,"R. RUBEM SOUTO DE ARAÚJO , 1077",R VIRIATO LEAO DE MOURA/ AV CARLOS OBERHUBER,VIRIATO LEAO DE MOURA/ AV CARLOS OBERHUBER
-46.52919954125773,-23.52122576316386,"AV. AMADOR BUENO DA VEIGA , 1652",R GILBERTO NATALIO REGATIERI/ R PICO DO PAPAGAIO,GILBERTO NATALIO REGATIERI/ R PICO DO PAPAGAIO
-46.63167941419921,-23.59918971494294,"R. LOEFGREEN , 672",R JAIME VIANA/ R JOSE ALVES PASSOS,JAIME VIANA/ R JOSE ALVES PASSOS
-46.61479788345991,-23.50360709049022,"AV. ZAKI NARCHI , 1503",AV GENERAL ATALIBA LEONEL/ R DOM JOSE MAURICIO,AV GENERAL ATALIBA LEONEL/ R DOM JOSE MAURICIO
-46.48708586816141,-23.52905860588235,"R. JUAZEIRO DO NORTE , 298",R. RIO TAPACURA,RIO TAPACURA
-46.66314186674363,-23.68146344270559,"R. PEIXOTO MELO FILHO , 0",R CESAR COSTA/ R PADRE JOSE GIANNELLA,CESAR COSTA/ R PADRE JOSE GIANNELLA
-46.53014157692048,-23.50847082278744,"R. S. FLORÊNCIO , 1464",RESIDENCIAL SOLAR,ESIDENCIAL SOLAR
-46.65026499597035,-23.67531943212985,"R. PST. RUBENS LOPES , 400",RUA PUBLICO PIMENTEL,UA PUBLICO PIMENTEL
-46.40206056156024,-23.53533133108364,"ESTR. DO LAGEADO VELHO , 670",R SERRA DAS ARARAS/ R JOAO MARCHI,SERRA DAS ARARAS/ R JOAO MARCHI
-46.66244398665681,-23.64842958674915,"R. DR. DJALMA PINHEIRO FRANCO , 89",AV SANTA CATARINA,AV SANTA CATARINA
-46.62654782805266,-23.49100918074227,"R. PEDRO DOLL , 96",R CANTO DO JUNCO/ R JOSE DOLL DE MORAES,CANTO DO JUNCO/ R JOSE DOLL DE MORAES
-46.76788032603618,-23.58390418075137,"ROD. RAPOSO TAVARES , 5909",R JOSE SILVANO FILHO/ R NORONHA SANTOS,JOSE SILVANO FILHO/ R NORONHA SANTOS
-46.73968482602256,-23.50703143890706,"R. INÁCIO LUÍS DA COSTA , 1888",RUA BRG. HENRIQUE FONTENELLE,UA BRG. HENRIQUE FONTENELLE
-46.54651712897981,-23.59914546664286,"R. JAIME PAIVA , 210",R MANDUVIRA/ AV ASTOLFO DUTRA,MANDUVIRA/ AV ASTOLFO DUTRA
-46.46575978313457,-23.60627219961391,"R. FORTE DO RIO BRANCO , 161",AV FORTE DO LEME,AV FORTE DO LEME
-46.66455545302853,-23.50756421766837,"R. REIMS , 375",R MOURAO VIEIRA/ R DR. RIBAS BOTELHO,MOURAO VIEIRA/ R DR. RIBAS BOTELHO
-46.52905442261039,-23.55626960656779,"R. FRANCISCA DE PAULA , 275",Prox. Av. 19 de Janeiro,Prox. Av. 19 de Janeiro
